Price,Close,High,Low,Open,Volume
Ticker,HES,HES,HES,HES,HES
Date,,,,,
2024-08-08,132.0098419189453,132.11865543348688,129.62584634206624,130.0017503185044,1469400
2024-08-09,132.9495849609375,133.84976810591263,130.7733297937728,132.41541913851682,2348600
2024-08-12,133.55300903320312,134.67081925809117,132.49456398621402,133.52333399131416,2575200
2024-08-13,132.54403686523438,132.92982753140177,131.52515343678914,131.94061914696002,1107800
2024-08-14,132.69241333007812,133.00896726124776,131.32730091662293,132.18792248316402,1115300
2024-08-15,134.86865234375,135.7985105356052,133.67171878590094,133.67171878590094,1005500
2024-08-16,135.115966796875,135.67982280945293,133.5134540775428,133.5134540775428,1085700
2024-08-19,136.6887969970703,137.23286458626094,134.9873725908792,135.32369979360763,1044200
2024-08-20,134.55213928222656,136.68881808948043,133.87946967884935,136.68881808948043,1536200
2024-08-21,134.87857055664062,135.97659247772182,133.98827394558649,135.40284979791954,2090800
2024-08-22,134.66094970703125,135.6996064932679,134.245483973712,134.91813846743185,652900
2024-08-23,136.6887969970703,137.0152375505847,135.1357477996944,135.82819059770026,648500
2024-08-26,136.80752563476562,139.03324454934167,136.23378294771354,138.3506883338121,819500
2024-08-27,135.98646545410156,138.0143454766754,135.6303498643124,137.33178933840279,723200
2024-08-28,135.27423095703125,136.00625051090142,134.3245843761759,135.43250790286052,1098300
2024-08-29,136.6294403076172,137.23285795115913,134.680698824086,135.98646097501094,544500
2024-08-30,136.57009887695312,136.58988726979874,134.86865935113963,135.31380007837802,1916000
2024-09-03,132.8111114501953,134.4334125870076,132.55392270569504,134.01794687937394,2294100
2024-09-04,129.74456787109375,133.71128783090106,129.34887548357955,133.18700862480077,1486800
2024-09-05,127.62767028808594,130.96129772139918,127.4496049295229,130.96129772139918,3585100
2024-09-06,124.93701934814453,128.7355758419812,124.53144029645776,127.39025186364883,1559000
2024-09-09,127.48916625976562,128.4091227027441,125.08538232241493,125.19419583553154,2246200
2024-09-10,125.1645278930664,127.53862183045494,123.8389923629265,127.30122149318878,1166100
2024-09-11,124.9864730834961,125.61956582155523,122.45410213125957,125.27334440965738,1316500
2024-09-12,126.2625503540039,126.5296408288583,124.45229730287298,125.33269211083183,879000
2024-09-13,127.18252563476562,128.1024821610916,126.65823131925187,126.81650827887407,817300
2024-09-16,128.026611328125,130.04254266852905,126.85478816194845,128.53307168674678,1175600
2024-09-17,129.9035186767578,130.50929214330148,128.21530226029094,128.21530226029094,1107600
2024-09-18,130.47950744628906,132.12800779789293,129.17858776446266,129.17858776446266,2425100
2024-09-19,132.5748748779297,133.81621265768558,131.5023572178547,132.83306768102125,1600300
2024-09-20,133.46864318847656,133.62753807431542,130.63840190559222,131.61160656351717,2446000
2024-09-23,134.40213012695312,135.66333364481736,133.36934368720023,133.97511717344526,1528300
2024-09-24,134.61068725585938,136.07050186398035,133.82615320365926,136.03077056477866,2500400
2024-09-25,131.29383850097656,134.55110805807155,130.77743767273924,134.18366172208965,1607200
2024-09-26,129.76449584960938,130.75756616160123,127.54001289564947,127.66911688518455,2291100
2024-09-27,132.6841278076172,133.08134987962492,130.5490326527368,130.5490326527368,1488900
2024-09-30,134.8589630126953,135.15688716255917,131.4626640715716,133.74671386340708,1792100
2024-10-01,137.9970703125,138.69221656622764,133.061509181456,133.58783528449632,2757900
2024-10-02,139.3674774169922,140.8968141114982,137.73884278777066,140.86702321577857,1463500
2024-10-03,139.89381408691406,140.79751173395124,138.52338732041628,139.25824967479963,1229700
2024-10-04,139.3674774169922,141.94946616839079,138.61274947034553,141.4529310356641,1357100
2024-10-07,139.3079071044922,141.17488420635888,139.23840005976894,139.70512918218466,1196800
2024-10-08,136.38827514648438,137.5402403631534,135.49451791292603,137.21252533670184,1033300
2024-10-09,137.52037048339844,138.20559141280495,134.9880381954809,135.11714218306477,665400
2024-10-10,138.4637908935547,139.32777239755262,137.5898992942586,138.2254637087698,564800
2024-10-11,138.8212890625,140.05270167622885,137.79842787684905,137.79842787684905,1629100
2024-10-14,138.9206085205078,139.11921955684545,137.61968880648791,137.78850894502744,844800
2024-10-15,134.988037109375,137.00398373683714,134.68018774427512,135.43493086186197,1320100
2024-10-16,135.69313049316406,135.9811142240857,135.1568791775321,135.2462518712956,1006400
2024-10-17,138.49359130859375,138.58296399925098,136.07049734155117,136.32869016557774,1663700
2024-10-18,138.453857421875,138.93052691618436,136.84508840792466,138.93052691618436,1143700
2024-10-21,138.6226806640625,140.12222652717125,138.22545860206236,139.67533276610817,1445800
2024-10-22,137.69912719726562,139.78456567125951,137.18272641430295,139.77464042366302,1236700
2024-10-23,137.09335327148438,137.7487832838699,135.92152247785123,137.08341287087114,1455700
2024-10-24,137.5402374267578,138.23538361057902,135.90167748253282,137.67926666352204,992700
2024-10-25,137.0635528564453,138.90072362938315,136.85500144769793,138.6425308332161,2027800
2024-10-28,136.11021423339844,136.41806360494093,133.56795666486016,133.56795666486016,1971900
2024-10-29,133.65731811523438,136.20951587017913,133.42891620604894,136.14993408109154,2147100
2024-10-30,133.3395538330078,135.41506712964448,133.0614953603986,134.82915928757868,1580100
2024-10-31,133.548095703125,134.80929928366064,132.87281514224034,133.85594508547246,1363300
2024-11-01,136.79542541503906,140.7081245809807,135.59380375857071,135.59380375857071,2542800
2024-11-04,137.7587127685547,138.93052844518033,137.42107250441342,138.1460095781403,899000
2024-11-05,138.3843536376953,139.39727444280587,136.90467342200193,137.94740027719254,1054300
2024-11-06,141.58204650878906,143.55824679946167,140.986198239943,141.9594029362107,3557000
2024-11-07,141.7607879638672,142.21760697771293,139.9335422145852,140.51945006575977,1861800
2024-11-08,141.19471740722656,141.850147392877,139.8143503997168,141.10534472365126,1347800
2024-11-11,141.0060577392578,142.2672461135245,140.5591639805906,141.08550518184197,1083700
2024-11-12,139.81436157226562,141.82036783120046,139.6157505418776,141.44299626632798,1539000
2024-11-13,141.81044006347656,142.71413766169252,138.71205046288614,140.09243270922371,1736000
2024-11-14,144.05477905273438,144.33283753174652,142.3069807342223,143.00212693175263,1436600
2024-11-15,144.63076782226562,145.04785555855426,143.18087841731358,143.6674883528426,1940100
2024-11-18,145.8621826171875,146.62683590144525,144.25339829361016,145.73307861849787,1363700
2024-11-19,145.21665954589844,145.77277646574274,143.8263672462877,144.22358928816232,1106300
2024-11-20,146.4480743408203,146.6367601171387,144.9088123873834,144.9088123873834,1049100
2024-11-21,146.95452880859375,148.34483622635938,146.27924832374555,147.32197509880746,1502400
2024-11-22,147.61988830566406,147.71920139303052,146.2295960008319,146.2494616489151,1362300
2024-11-25,144.37255859375,148.35476486321224,143.90581436142043,147.61988741904347,2983000
2024-11-26,145.28619384765625,146.2792641881692,144.8293748236779,144.8293748236779,1434600
2024-11-27,145.7429962158203,149.26839891890089,144.95847732224667,145.97141330197968,2714400
2024-11-29,146.1600799560547,146.64668985973591,144.44207257431935,145.87209623545985,891900
2024-12-02,145.94161987304688,146.85524274268604,144.09450848465343,146.1600814011113,1244100
2024-12-03,146.19979858398438,147.3815545669043,145.51457770964936,147.2127344483513,1086100
2024-12-04,142.96240234375,145.98132928891354,141.35361820669632,145.98132928891354,2135200
2024-12-05,143.72706604003906,144.81944947506707,142.6049068601112,143.27026216942798,1239700
2024-12-06,140.5492401123047,143.15107948201236,139.54624455180337,143.15107948201236,1861500
2024-12-09,141.46287536621094,144.74001071489437,141.10536941629908,142.4360801147842,2200200
2024-12-10,141.8799591064453,143.93562204861382,141.04578363123983,142.74394063359864,1045300
2024-12-11,141.3437042236328,142.44601291427566,140.65848326011823,142.1679544295235,1318300
2024-12-12,140.09243774414062,141.85016130571776,138.69220495192783,141.5522371781969,1598100
2024-12-13,139.22845458984375,140.50952377690993,138.26517517580342,140.05270476644787,940600
2024-12-16,135.4014129638672,139.32811615281773,134.79347137561925,139.32811615281773,2082100
2024-12-17,133.95631408691406,134.75361679617637,132.37168464689893,134.0858649419791,1783300
2024-12-18,129.27218627929688,134.46459203855431,129.21237602791842,133.15901621822826,2416900
2024-12-19,127.22909545898438,130.78703724380966,126.7606806974358,130.56777862320038,3162500
2024-12-20,127.75730895996094,128.70409928148445,126.89024282707823,126.89024282707823,3534900
2024-12-23,129.22235107421875,129.81035594660858,126.88027714889003,127.55798219041533,1655900
2024-12-24,130.1193084716797,130.43823565084517,128.27556204171574,130.07945017792645,657800
2024-12-26,130.24887084960938,130.64751460498908,128.70409968476517,130.24887084960938,762300
2024-12-27,130.1392364501953,132.03281702517813,129.37183128342937,129.37183128342937,848500
2024-12-30,130.26881408691406,130.88671650070933,128.62437429769005,130.31863315335414,1475700
2024-12-31,132.56103515625,132.8101913111084,130.40833753580975,130.40833753580975,1478200
2025-01-02,134.96290588378906,135.79010615348818,133.1988760265443,134.23537416023586,1665500
2025-01-03,135.92962646484375,136.6073390900576,135.28182656786498,135.5010851930267,1317600
2025-01-06,135.46121215820312,138.0823396906281,135.10242669827912,135.57084147116004,1531100
2025-01-07,138.1421356201172,139.18859448555804,135.92962780425407,136.21864224538731,2225900
2025-01-08,139.33807373046875,139.9659520535128,136.6073322386945,137.5341857562514,2088600
2025-01-10,141.92930603027344,143.60362797731383,139.766632578371,141.75988168139082,2253000
2025-01-13,144.3411407470703,146.37424821316188,142.50735515690388,142.76647207487815,2365700
2025-01-14,146.1848907470703,146.22476424761842,143.82289528363347,143.8428320339075,1248900
2025-01-15,148.41732788085938,148.67644479223964,145.8061763959344,146.50381054756122,2170100
2025-01-16,149.22459411621094,149.59335555179103,147.93895509912252,147.93895509912252,1298100
2025-01-17,150.83914184570312,151.257722359913,148.58676047892192,148.87579013389276,2817100
2025-01-21,148.15821838378906,150.71953572735634,146.80280830396333,150.04183829108584,3767400
2025-01-22,145.09857177734375,147.8293286543306,144.71986477052408,146.80280653352818,2795900
2025-01-23,144.37103271484375,146.52374538951352,144.13183734856364,146.14502319472427,1986200
2025-01-24,143.91258239746094,145.8460365041162,143.60363121269762,145.09856807364335,2329300
2025-01-27,145.6168212890625,146.57358759873011,143.8527914844828,144.43083557884464,2141400
2025-01-28,144.56039428710938,147.28117505561684,143.96241347308663,146.54366741262663,1596000
2025-01-29,144.67002868652344,145.57696071036554,143.39435043185327,143.51394051595224,1353000
2025-01-30,145.35769653320312,146.72306729880168,144.44078856584815,145.50718413261765,1683100
2025-01-31,138.5607147216797,144.93910597750494,138.11223670025646,144.93910597750494,3253500
2025-02-03,138.36138916015625,139.84636522564188,136.74686224313223,138.11223302074964,2184300
2025-02-04,142.29806518554688,142.77644075572542,137.37473702030027,137.37473702030027,2085000
2025-02-05,142.25819396972656,143.36444783029174,141.4110570179547,142.3678232786937,1336700
2025-02-06,141.450927734375,144.51057267604747,140.5938451437039,143.51394803690232,1595900
2025-02-07,142.45751953125,143.6734027322994,141.76984613965666,142.29805594911272,1079000
2025-02-10,145.3377685546875,145.606861457156,143.8826899343488,143.8826899343488,2831500
2025-02-11,146.50381469726562,148.1083808950985,145.67661446287633,146.03539992348755,1801600
